id,recipe_id,ingredient,quantity_imperial,unit_imperial,quantity_metric,unit_metric,notes
1361,331,to the strain'd add Tincture of Castor,3.0,drams,11.67,g,
1362,331,Diascordium,2.0,drams,7.78,g,
1363,331,Syrup of Meconium,0.5,ounce,15.55,g,
1364,331,Oil of Aniseed,10.0,drops,0.62,ml,
1365,332,Oils of Linseed and Camomile,6.0,ounces,186.6,g,
1366,332,Oil of Scorpions and Turpentine,2.0,drams,7.78,g,
1367,333,Virginia Snake root powder'd,1.0,dram,3.89,g,
1368,333,pulp of Coloquintida (tied up in a nodule),1.0,scruple,1.3,g,
1369,333,"Tansy, Savine tops, each",0.5,handful,0.5,handful,
1370,333,decoct in Water to,6.0,ounces,186.6,g,
1371,333,strain and add Oil of St. John's Wort,0.5,ounce,15.55,g,
1372,333,chymical Oil of Wormwood,0.5,dram,1.95,g,
1373,333,Species of Hiera picra,0.5,scruple,0.65,g,
1374,334,Pomgranate Peel bruised,0.5,ounce,15.55,g,
1375,334,Flowers of the same,1.0,dram,3.89,g,
1376,334,boil in Milk half a pint to,4.0,ounces,124.4,g,
1377,334,to the strained add Brandy (or Cinnamon Water),2.0,ounces,62.2,g,
1378,334,Diascordium,6.0,drams,23.34,g,
1379,334,Oil of Nutmeg,6.0,drops,0.37,ml,
1380,335,"Mullein, and Elder Flowers, each",0.5,handful,0.5,handful,
1381,335,"Herbs, Hemlock, Henbane",1.0,handful,1.0,handful,
1382,335,boil in Smith's Forge Water to,12.0,ounces,373.2,g,
1383,335,Linseed Oil,2.0,ounces,62.2,g,
1384,335,oil of Amber,0.5,dram,1.95,g,
1385,335,Balsam of Sulphur,2.0,drams,7.78,g,
1386,336,"either Chicken, or Veal-Broth",12.0,ounces,373.2,g,
1387,336,"Oil Olive, brown Sugar",2.0,ounces,62.2,g,
1388,336,Oil of Anniseed,0.5,dram,1.95,g,
1389,337,new Milk,10.0,ounces,311.0,g,
1390,337,"Mucilage of Fleawort, and Quince Seeds (extracted in red Poppy Water)",3.0,ounces,93.3,g,
1391,337,"Yolk of 2 Eggs, Diacodium",2.0,ounces,62.2,g,
1392,338,Domestic Syrup,2.0,ounces,62.2,g,
1393,338,Lenitive Electuary,1.0,ounce,31.1,g,
1394,338,Species of Hiera,1.0,dram,3.89,g,
1395,339,Broth made of Sheep's Inwards,10.0,ounces,311.0,g,
1396,339,Canary Wine,3.0,ounces,93.3,g,
1397,340,of the Decoction for Glysters,12.0,ounces,373.2,g,
1398,340,Mixture for Glysters,3.0,ounces,93.3,g,
1399,341,of the common Emulsion,12.0,ounces,373.2,g,
1400,341,Oil of Lilies,4.0,ounces,124.4,g,
1401,341,Salt Prunel,2.0,scruples,2.59,g,
1402,341,Sugar of Lead,1.0,scruple,1.3,g,
1403,342,"Mallows, Golden Rod",1.0,handful,1.0,handful,
1404,342,Daucus and Parsley Seed,2.0,drams,7.78,g,
1405,342,boil in Water to,12.0,ounces,373.2,g,
1406,342,in the strained dissolve Castile Soap,0.5,ounce,15.55,g,
1407,342,Oil of Camomile,1.0,ounce,31.1,g,
1408,342,Oil of Anniseed,30.0,drops,1.86,ml,
1409,342,Syrup of Violets,2.0,ounces,62.2,g,
1410,343,Opium,8.0,grains,0.52,g,
1411,343,dissolve it in erratic Poppy Water,6.0,ounces,186.6,g,
1412,344,New Cows Milk,6.0,ounces,186.6,g,
1413,344,Melassos,2.0,ounces,62.2,g,
1414,345,Urine of a Man in Health,1.0,pint,473.0,ml,
1415,345,Venice Turpentine (dissolved in 2 Yolks of Eggs),1.0,ounce,31.1,g,
1416,345,Oil of Aniseed,1.0,dram,3.89,g,
1417,345,Melassos,1.0,ounce,31.1,g,
1418,346,new Milk,0.5,pint,236.5,ml,
1419,346,Brandy,2.0,ounces,62.2,g,
1420,346,Oil of Aniseed,0.5,dram,1.95,g,
1421,346,Diascordium,6.0,drams,23.34,g,
1422,347,Pellitory of Spain,0.5,ounce,15.55,g,
1423,347,Coloquintida (tied up in a rag),0.5,dram,1.95,g,
1424,347,Rue,2.0,handfuls,2.0,handfuls,
1425,347,boil in Water to,12.0,ounces,373.2,g,
1426,347,and to the strain'd add Infusion of Crocus Metallorum,3.0,ounces,93.3,g,
1427,347,Tincture of Castor,0.5,ounce,15.55,g,
1428,347,"Salt Gem, Oil of Amber",2.0,drams,7.78,g,
1429,348,Camomile flowers,1.0,handful,1.0,handful,
1430,348,boil in Water to,3.0,ounces,93.3,g,
1431,348,strain and add Spirit of Hartshorn,8.0,drops,0.5,ml,
1432,348,Oil of Aniseed,5.0,drops,0.31,ml,
1433,348,Honey of Roses,3.0,drams,11.67,g,
1434,349,round Birthwort and white Bryony roots each,0.5,ounce,15.55,g,
1435,349,"Rue, Feverfew, Pennyroyal, Camomile flowers, each",0.5,handful,0.5,handful,
1436,349,"boil in Water to 1 pint, in which (when strain'd and cold) dissolve Asa Faetida",1.0,dram,3.89,g,
1437,349,Oil of Amber,2.0,drams,7.78,g,
1438,349,brown Sugar,1.0,ounce,31.1,g,
1439,350,Linseed Oil,6.0,ounces,186.6,g,
1440,350,Coloquintida tied up in a Rag,1.0,dram,3.89,g,
1441,351,of our Decoction for Glysters,12.0,ounces,373.2,g,
1442,351,"Syrup of the Juice of Groundsell (or of Buck-Thorn) salt Butter, brown Sugar",1.0,ounce,31.1,g,
1443,351,Oil of Aniseed,8.0,drops,0.5,ml,
1444,352,Malaga Raisins freed from the Stalks and Stones,2.0,pound,746.0,g,
1445,352,Currants pick'd and rubb'd clean with a Cloth,1.0,pound,373.0,g,
1446,352,Jujubes,0.5,pound,186.5,g,
1447,352,"beat all in a Marble Mortar, and boil in a convenient quantity of clear Barly Water, 'till the Goodness be boil'd out into the Liquor, then strain and squeeze it out, and having set it by to settle and decanted the clear, and added to it clarify'd Honey and white Sugar Candy",4.0,ounces,124.4,g,
1448,353,Raisins stoned and chop'd small,4.0,pound,1492.0,g,
1449,354,Spring Water,2.0,pints,946.0,ml,
1450,354,having boil'd it to,1.0,pint,473.0,ml,
1451,355,Liquorice,2.0,ounces,62.2,g,
1452,355,Malaga Raisins stoned and cut small,4.0,ounces,124.4,g,
1453,355,boil in depurate Barly water from,3.0,pints,1419.0,ml,
1454,355,to the strain'd add Honey,2.0,ounces,62.2,g,
1455,356,"Pearl Barley, Malaga Raisins stoned, each",0.5,ounce,15.55,g,
1456,356,Liquorice,2.0,drams,7.78,g,
1457,356,"Roots of Elecampane, Orris, Calamus Aromaticus and dry'd Tobacco",1.0,dram,3.89,g,
1458,356,"Colts foot, Ground Ivy, Rocket, Sanicle",1.0,handful,1.0,handful,
1459,356,sweet Fennel and Aniseed (added towards the last),2.0,drams,7.78,g,
1460,356,make a Decoction in simple Hydromel,3.0,pints,1419.0,ml,
1461,357,"roots of Madder, Fennel",1.0,ounce,31.1,g,
1462,357,Parsly,2.0,ounces,62.2,g,
1463,357,"Bay and Juniper berries, each",0.5,ounce,15.55,g,
1464,357,Daucus and Sweet Fennel Seeds,2.0,drams,7.78,g,
1465,357,boil in Water 2 pints and half to,28.0,ounces,870.8,g,
1466,357,to the strain'd Liquor add Juice of Pellitory of the Wall and Honey,4.0,ounces,124.4,g,
1467,358,Spring Water,6.0,quarts,5676.0,ml,
1468,358,Honey,1.0,quart,946.0,ml,
